song,artist
Ruby,Kaiser Chiefs
Shuffle,Bombay Bicycle Club
The Age of the Understatement,The Last Shadow Puppets
Standing Next to Me,The Last Shadow Puppets
Girl With One Eye (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Kiss With A Fist (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
I’m Not Calling You A Liar (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Bird Song (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
My Boy Builds Coffins (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Sunday Girl,She & Him
Kolme pientä sanaa,Anna Puu
Together,She & Him
Shadow of Love,She & Him
London,She & Him
Fourth Time Around (Live at the Royal Albert Hall),Cat Power
She Belongs to Me (Live at the Royal Albert Hall),Cat Power
Mr. Tambourine Man (Live at the Royal Albert Hall),Cat Power
Just Like a Woman (Live at the Royal Albert Hall),Cat Power
Desolation Row (Live at the Royal Albert Hall),Cat Power
It's All over Now Baby Blue (Live at the Royal Albert Hall),Cat Power
Visions of Johanna (Live at the Royal Albert Hall),Cat Power
Carry Me,Bombay Bicycle Club
Something's Haunting You,She & Him
Falling (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Dog Days Are Over (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Cosmic Love (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Hurricane Drunk (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Blinding (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Hardest Of Hearts (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
So Allowed,Beirut
The Whole of the Moon (2004 Remaster),The Waterboys
Hello Sunshine,Aretha Franklin
Dead and Gone (2021 Remaster),The Black Keys
Another Sunny Day,Belle and Sebastian
So Says I,The Shins
Nantes,Beirut
Hadsel,Beirut
Lonely Cowboy,Kaleo
No No No,Beirut
Empire Now,Hozier
Fantasneeze (feat. Matilda Mann),Bombay Bicycle Club
Port of Call,Beirut
East Harlem,Beirut
Fade Into You,Mazzy Star
Warm And Tender Love,Percy Sledge
The Last One,First Aid Kit
3 Times And You Lose,Travis
You Only Live Once,The Strokes
There She Goes,The La's
They Can't Take That Away from Me,Ella Fitzgerald & Louis Armstrong
Bobby Reid,Lucette
havadar,Büyük Ev Ablukada
Only Love Can Hurt Like This,Paloma Faith
Cocoon,Milky Chance
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals
Wars,Of Monsters and Men
You Are The Only One I Love,Jaymay
All The Pretty Girls,Kaleo
Remedy,Adele
Suddenly I See,KT Tunstall
Somebody Sweet to Talk To,She & Him
Turn to White,She & Him
King of the World,First Aid Kit
Reprise (I Could've Been Your Girl),She & Him
Baby,She & Him
River,Leon Bridges
Caledonia (Live At Garage Glasgow),Paolo Nutini
Without You,Eddie Vedder
